Date,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG
12/11/2019,87.43599701,131.0997925,160.7105255,27.72275352,67.21250153,127.6195679,118.8974228,202.2599945,31.06291008,112.9289856
12/12/2019,88.01650238,133.6307526,164.6123047,27.66003036,67.42449951,127.9454422,122.3000565,196.75,31.32298088,112.8474426
12/13/2019,88.04699707,132.4927216,163.3622437,27.48441315,67.34349823,127.9816895,121.2278519,194.1100006,31.1523056,113.6627579
12/16/2019,88.46050262,132.3379517,163.6936951,28.03635979,68.03500366,128.3527832,121.6975021,197.9199982,31.81062317,113.7442703
12/17/2019,89.53299713,133.2575073,164.6312408,28.21198082,67.74449921,129.9550934,122.4418335,198.3899994,31.61556244,113.5177994
12/18/2019,89.20149994,133.9402924,163.4663849,28.45659256,67.59549713,129.6201477,122.3177719,202.5,31.60744476,112.3401489
12/19/2019,89.61399841,132.0284424,163.6084747,28.21198082,67.8219986,131.5754242,121.7063522,206.0599976,31.67245483,113.164505
12/20/2019,89.32499695,134.3500061,165.3983765,28.50676918,67.56099701,132.2181244,121.608902,206.3000031,31.8837738,113.5631104
12/23/2019,89.65000153,135.1967163,165.7771454,28.34996986,67.53150177,132.5621338,121.5734558,206.1799927,31.95692825,113.1463852
12/24/2019,89.46050262,134.2680817,165.2563019,28.42522812,67.22149658,132.1004486,121.9101563,205.1199951,31.93253517,113.4362793
12/26/2019,93.43849945,134.9417419,165.5404053,28.42522812,68.12349701,132.0099335,123.2038574,207.7899933,32.0056839,113.4362793
12/27/2019,93.48999786,134.9963837,166.4969177,28.4816761,67.73200226,131.9375153,123.292511,208.1000061,31.95692825,114.224411
12/30/2019,92.34449768,134.3044586,165.6503754,28.46286583,66.98549652,131.5301666,122.8405914,204.4100037,31.62369728,112.7568665
12/31/2019,92.39199829,134.4501343,164.7943573,28.5945797,66.96949768,132.0461273,123.5228729,205.25,31.84313202,113.1463852
1/2/2020,94.90049744,137.0448303,168.2184448,28.49422073,68.43399811,132.1366577,125.0203934,209.7799988,31.81062317,111.7966156
1/3/2020,93.74849701,135.1420288,166.9724579,28.58202744,68.0759964,130.6068268,123.3705597,208.6699982,31.63994789,111.0447159
1/6/2020,95.14399719,135.0509949,168.1708832,28.62593079,69.89050293,130.4438629,123.2724533,212.6000061,31.59931183,111.1987152
1/7/2020,95.34300232,133.266571,165.250885,28.65102768,69.75550079,131.2404938,121.1767578,213.0599976,31.49365616,110.5102463
1/8/2020,94.59850311,134.4501343,167.3053436,28.85801125,70.2519989,131.2223969,122.1220779,215.2200012,31.74560928,110.981308
